== ReadHeavy
-- CrossbeamSkipMap
2023-04-24T06:26:35.709708Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=22}: bustle: start workload mix
2023-04-24T06:26:39.195089Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=22}: bustle: workload mix finished spent=3.485357248s ops=16777216 avg=206ns
2023-04-24T06:26:42.704153Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=23}: bustle: generating operation mix
2023-04-24T06:26:42.704166Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=23}: bustle: generating key space
2023-04-24T06:26:43.342505Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=23}: bustle: constructing initial table
2023-04-24T06:26:46.014976Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=23}: bustle: start workload mix
2023-04-24T06:26:49.464574Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=23}: bustle: workload mix finished spent=3.44956323s ops=16777216 avg=204ns

-- RwLock<BTreeMap>
2023-04-24T06:26:52.952557Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: generating operation mix
2023-04-24T06:26:52.952563Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: generating key space
2023-04-24T06:26:53.070920Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: constructing initial table
2023-04-24T06:26:57.999403Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: start workload mix
2023-04-24T06:27:05.046981Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=1}: bustle: workload mix finished spent=7.047552051s ops=16777216 avg=419ns
2023-04-24T06:27:07.353891Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: generating operation mix
2023-04-24T06:27:07.354047Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: generating key space
2023-04-24T06:27:07.446129Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: constructing initial table
2023-04-24T06:27:13.443680Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: start workload mix
2023-04-24T06:27:17.539362Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=2}: bustle: workload mix finished spent=4.095657109s ops=16777216 avg=243ns
2023-04-24T06:27:19.845347Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: generating operation mix
2023-04-24T06:27:19.845360Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: generating key space
2023-04-24T06:27:19.943424Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: constructing initial table
2023-04-24T06:27:26.271731Z  INFO benchmark{mix=Mix { read: 98, insert: 1, remove: 1, update: 0, upsert: 0 } threads=3}: bustle: start workload mix
